"id","Nom","Marque","address","latitude","longitude","services","automate_h24"
"43000004","ESSO VAL VERT","Esso Express","106 Avenue Maréchal Foch 43000 Le Puy-en-Velay",45.0323329,3.8857081,"",False
"71260005","EURL GOUPIL PHILIPPE","Total Access","RN6 71260 Fleurville",46.445111600000004,4.8847009,"Restauration à emporter|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage manuel",True
"71000003","VARENNES LES MACON","Total","Condemine  71000 Varennes-lès-Mâcon",46.2697873,4.7969219,"",False
"52150001","GARAGE CENTRAL DUGRILLON","Avia","Rue Carnot 52150 SAINT-THIéBAULT",48.2021045,5.5819782,"Automate CB",True
"52140002","SARL FLAGEZ&FILS","Total","RN 74 52140 Montigny-le-roi",48.005891,5.4862115,"Carburant additivé|Toilettes publiques|Station de gonflage|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Relais colis|Lavage automatique|Lavage manuel",False
"45770001","CARREFOUR SARAN","Carrefour","2601 route nationnale 20 45770 Saran",47.9599463,1.8889868000000003,"Carburant additivé|Vente de gaz domestique (Butane, Propane)|Automate CB|Automate CB 24/24",True
"89400004","STATION SERVICE LECLERC","Leclerc","48 route de Sens 89400 Épineau-les-Voves",47.9499155,3.4687205999999997,"Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Piste poids lourds|Automate CB",True
"6130008","ESSO PARFUMS","Esso Express","35 Avenue de la Libération 06130 Grasse",43.6473024,6.9161539,"",False
"6130006","BP GRASSE LES CAMPAGNETTES","BP","13ROUTE DE DRAGUIGNAN 06130 Grasse",43.640596200000005,6.9090491,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)",False
"6130001","AUCHAN GRASSE","Auchan","158 route de cannes 06130 GRASSE",43.6349542,6.951931399999999,"Carburant additivé|Toilettes publiques|Station de gonflage|Automate CB",True
"85170005","AUTO BELLEVIGNY","Esso","1 RUE DE L'EPINE 85170 BELLEVIGNY",46.801346200000005,-1.4311947,"Piste poids lourds",False
"31770001","Carrefour Market","Carrefour Market","Chemin de l'Ormeau 31770 Colomiers",43.6139152,1.3302228,"Automate CB",True
"33730001","SARL D.V.S AUTO","Elan","15 Rue Lafon Isore 33730 VILLANDRAUT",44.459739500000005,-0.3750578,"Toilettes publiques|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Vente de fioul domestique",True
"64470001","CARRERE ANNE MARIE","Elan"," 64470 TARDETS-SORHOLUS",43.120597499999995,-0.8674671,"Carburant additivé|Toilettes publiques|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Vente de fioul domestique",True
"34725001","ESSO BOURGEOIS","Esso","Avenue de Montpellier 34725 SAINT-ANDRé-DE-SANGONIS",43.6507569,3.5101497000000004,"Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"6200029","BP NICE MAGNAN","BP","31 AVENUE DU BELLET 06200 NICE",43.693203499999996,7.243462400000001,"Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique",False
"33720001","SUPER U","Système U","RN 113 33720 Podensac",44.656237299999994,-0.3657958,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Automate CB|Lavage manuel",True
"34150001","SPAR","Supermarchés Spar","Route de SaintGuilhem 34150 ANIANE",43.6910136,3.5832792,"Boutique alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"9110001","Intermarché Super","Intermarché","RN 20 09110 SAVIGNAC-LES-ORMEAUX",42.7303656,1.8149616000000002,"Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"34800002","AVIA CLERMONT L'HERAULT RN9","Avia","9 RN 9 34800 CLERMONT-L'HéRAULT",43.6314662,3.439322,"Carburant additivé|Station de gonflage|Location de véhicule|Automate CB",True
"14470002","Carrefour Market","Carrefour Market","Route Anglaise 14470 COURSEULLES-SUR-MER",49.322452399999996,-0.4529039000000001,"Station de gonflage|Aire de camping-cars|Automate CB|Lavage automatique|Lavage manuel",True
"9350002","CARREFOUR CONTACT","Carrefour Contact","RUE MARVEILLE 09350 Les Bordes-sur-Arize",43.1081547,1.3749266000000002,"Restauration à emporter|Carburant additivé|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True
"12300001","GEANT CASINO","Géant","2 Avenue Paul Ramadier 12300 DECAZEVILLE",44.55508029999999,2.2581623,"Carburant additivé|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"20169002","Sarl Ets Botti","Depuis 1959","sennola 20169 BONIFACIO",41.3905484,9.164895800000002,"Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique|Vente de pétrole lampant",True
"20169003","SASU ASJP","Total","Cala Longa 20169 Bonifacio",41.3924653,9.1657484,"Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Relais colis|Automate CB|Lavage automatique|Lavage manuel|Vente de fioul domestique|Vente de pétrole lampant|Vente d'additifs carburants|Automate CB 24/24",True
"20230009","RELAIS DE PADULELLA","Esso","STATION ESSO MORIANI PLAGE 20230 San-Nicolao",42.3753684,9.5297865,"Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel|Vente de fioul domestique",False
"63450004","RELAIS DE LA PEIGNE","Total","CD 213 LA PEIGNE 63450 LE CREST",45.685801299999994,3.1438876000000002,"Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Lavage automatique|Lavage manuel",False
"21150002","Venardis sas","Système U","Avenue de Dijon 21150 VENAREY-LES-LAUMES",47.53777720000001,4.462186099999999,"Toilettes publiques|Vente de gaz domestique (Butane, Propane)|Automate CB",True
"12400003","INTERMARCHE VABRES L'ABBAYE","Intermarché","Route de SaintAffrique 12400 Vabres-l'Abbaye",43.95456970000001,2.8500137000000003,"Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage manuel|Automate CB 24/24",True
"62930001","INTERMARCHE CONTACT WIMEREUX","Intermarché","Rue du Bon Air 62930 WIMEREUX",50.777805799999996,1.6118038000000001,"Vente de gaz domestique (Butane, Propane)|Aire de camping-cars|Piste poids lourds|Automate CB",True
"40300003","Carrefour Market - Route de bayonne","Carrefour Market","Route de Bayonne 40300 PEYREHORADE",43.550445399999994,-1.1231151000000001,"Toilettes publiques|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique",True
"87100001","Hyper U Coop Atlantique Limoges","Système U","14 Rue Georges BRIQUET 87100 LIMOGES",45.8405077,1.2341659,"Restauration à emporter|Restauration sur place|Toilettes publiques|Bar|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Automate CB|Vente de fioul domestique",True
"21400003","MM MUTEZ","Avia","avenue noel navoizat 21400 Châtillon-sur-Seine",47.876318700000006,4.5686062000000005,"Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Relais colis|Piste poids lourds|Automate CB|Lavage automatique",True
"21400001","AUCHAN CHATILLON Schiever Carburant","Auchan","Avenue Noël NAVOIZAT Actipôle 21400 CHâTILLON-SUR-SEINE",47.88195379999999,4.563209,"Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Station de gonflage|Boutique non alimentaire|Services réparation / entretien|Laverie|Vente de gaz domestique (Butane, Propane)|Relais colis|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Automate CB 24/24",True
"48200007","STATION BP LA GARDE","BP","Lieudit La Garde D809 48200 Albaret-Sainte-Marie",44.872152899999996,3.2485857000000005,"Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds|Automate CB",True
